TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,810,695,581,30.70,34.00
0:0,810,733,666,30.70,34.00
0:0,808,745,702,30.70,34.00
0:0,807,747,713,30.70,34.00
0:0,808,747,717,30.70,34.00
0:0,808,744,714,30.70,34.00
0:0,807,745,714,30.70,34.00
0:0,807,745,716,30.70,34.00
0:0,808,747,718,30.70,34.00
0:0,808,747,717,30.70,34.00
0:0,807,745,716,30.70,34.00
0:0,808,744,714,30.70,34.00
0:0,808,744,715,30.70,35.00
0:0,805,744,714,30.70,35.00
0:0,806,744,714,30.70,35.00
0:0,804,742,713,30.70,35.00
0:0,804,740,711,30.80,35.00
0:0,786,731,705,30.80,35.00
0:0,783,728,701,30.80,35.00
0:0,791,732,703,30.80,35.00
0:0,794,735,705,30.80,34.00
0:0,792,731,703,30.80,34.00
0:0,780,724,698,30.80,34.00
0:0,784,727,699,30.80,34.00
0:0,785,728,699,30.80,34.00
0:0,781,720,693,30.80,34.00
0:0,774,719,691,30.80,34.00
0:0,774,718,691,30.80,34.00
0:0,774,717,691,30.80,34.00
0:0,773,713,686,30.80,34.00
0:0,780,722,691,30.80,34.00
0:0,786,724,694,30.80,34.00
0:0,785,728,698,30.80,34.00
0:0,707,675,661,30.80,34.00
0:0,756,697,667,30.80,34.00
0:0,756,701,672,30.80,34.00
0:0,697,660,644,30.80,34.00
0:0,708,662,637,30.80,34.00
0:0,793,719,677,30.80,34.00
0:0,790,727,692,30.80,34.00
0:0,792,730,697,30.80,34.00
0:0,782,723,695,30.80,34.00
0:0,777,722,694,30.80,34.00
0:0,780,724,695,30.80,34.00
0:0,784,726,696,30.80,34.00
0:0,783,721,693,30.80,34.00
0:0,777,719,692,30.80,34.00
0:0,787,727,697,30.80,34.00
0:0,775,719,694,30.80,34.00
0:0,762,707,682,30.80,34.00
0:0,764,707,679,30.80,34.00
0:0,770,712,682,30.80,34.00
0:0,765,709,680,30.90,34.00
0:0,768,710,680,30.90,34.00
0:0,773,715,686,30.90,34.00
0:0,773,716,687,30.90,34.00
0:0,775,719,690,30.90,34.00
0:0,781,721,690,30.90,34.00
0:0,778,719,690,30.90,34.00
0:0,774,716,688,30.90,34.00
0:0,771,714,687,30.80,35.00
0:0,764,706,680,30.80,35.00
0:0,744,695,671,30.80,35.00
0:0,729,684,659,30.80,35.00
0:0,725,677,652,30.90,35.00
0:0,731,680,652,30.90,35.00
0:0,755,697,664,30.90,35.00
0:0,772,712,678,30.90,35.00
0:0,782,721,687,30.80,35.00
0:0,776,716,687,30.80,35.00
0:0,783,723,693,30.80,35.00
0:0,786,724,695,30.80,35.00
0:0,785,726,696,30.80,34.00
0:0,785,725,694,30.80,34.00
0:0,785,726,697,30.80,34.00
0:0,785,726,697,30.80,34.00
0:0,787,726,698,30.80,34.00
0:0,790,728,698,30.80,34.00
0:0,798,735,704,30.80,34.00
0:0,801,734,704,30.80,34.00
0:0,799,737,707,30.80,34.00
0:0,800,737,706,30.80,34.00
0:0,800,738,707,30.80,34.00
0:0,802,737,708,30.80,34.00
0:0,801,738,707,30.80,33.00
0:0,801,737,708,30.80,33.00
0:0,800,738,708,30.80,33.00
0:0,800,738,708,30.80,33.00
0:0,800,738,708,30.80,33.00
0:0,798,736,706,30.80,33.00
0:0,745,701,681,30.80,33.00
0:0,668,641,633,30.80,33.00
0:0,791,714,672,30.80,33.00
0:0,795,728,689,30.80,33.00
0:0,787,726,695,30.80,33.00
0:0,766,712,686,30.80,33.00
0:0,789,726,694,31.00,34.00
0:0,773,717,689,31.00,34.00
0:0,752,700,677,31.00,34.00
0:0,750,696,671,31.00,34.00
0:0,754,699,671,31.00,33.00
0:0,757,701,672,31.00,33.00
0:0,760,704,675,31.00,33.00
0:0,757,702,674,31.00,33.00
0:0,757,702,673,30.80,32.00
0:0,758,702,672,30.80,32.00
0:0,756,701,673,30.80,32.00
0:0,755,701,672,30.80,32.00
0:0,752,699,671,31.00,33.00
0:0,736,687,662,31.00,33.00
0:0,753,696,666,31.00,33.00
0:0,765,707,675,31.00,33.00
0:0,768,711,679,31.00,33.00
0:0,782,719,686,31.00,33.00
0:0,797,734,699,31.00,33.00
0:0,801,736,705,31.00,33.00
0:0,804,740,708,31.00,33.00
0:0,805,739,709,31.00,33.00
0:0,805,741,710,31.00,33.00
0:0,808,743,712,31.00,33.00
0:0,808,745,714,30.80,32.00
0:0,807,742,711,30.80,32.00
0:0,806,742,710,30.80,32.00
0:0,802,739,710,30.80,32.00
0:0,795,735,706,31.00,33.00
0:0,789,729,701,31.00,33.00
0:0,779,722,694,31.00,33.00
0:0,786,725,695,31.00,33.00
0:0,768,713,688,31.00,33.00
0:0,761,706,679,31.00,33.00
0:0,768,710,681,31.00,33.00
0:0,766,708,679,31.00,33.00
0:0,739,691,667,30.80,31.00
0:0,767,705,673,30.80,31.00
0:0,772,711,681,30.80,31.00
0:0,776,715,686,30.80,31.00
0:0,782,719,690,31.00,32.00
0:0,794,727,695,31.00,32.00
0:0,791,729,698,31.00,32.00
0:0,606,602,609,31.00,32.00
0:0,330,387,435,31.00,33.00
0:0,277,319,340,31.00,33.00
0:0,247,293,299,31.00,33.00
0:0,261,299,293,31.00,33.00
0:0,256,295,290,31.00,32.00
0:0,257,298,290,31.00,32.00
0:0,253,293,287,31.00,32.00
0:0,251,293,287,31.00,32.00
0:0,254,293,287,31.00,33.00
0:0,251,292,287,31.00,33.00
0:0,251,291,286,31.00,33.00
0:0,250,290,283,31.00,33.00
0:0,250,288,283,31.00,33.00
0:0,249,289,282,31.00,33.00
0:0,248,290,284,31.00,33.00
0:0,247,287,282,31.00,33.00
0:0,247,287,282,31.00,33.00
0:0,251,291,283,31.00,33.00
0:0,256,293,285,31.00,33.00
0:0,256,292,286,31.00,33.00
0:0,255,295,288,31.00,33.00
0:0,261,298,290,31.00,33.00
0:0,261,298,290,31.00,33.00
0:0,259,296,290,31.00,33.00
0:0,260,297,289,31.00,33.00
0:0,259,296,290,31.00,33.00
0:0,259,296,288,31.00,33.00
0:0,260,295,289,31.00,33.00
0:0,260,297,290,31.00,33.00
0:0,260,296,290,31.00,33.00
0:0,259,296,289,31.00,33.00
0:0,260,296,289,31.00,33.00
0:0,260,296,289,31.00,33.00
0:0,259,297,289,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,259,296,290,31.00,33.00
0:0,260,295,290,31.00,33.00
0:0,257,296,290,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,260,295,289,31.00,33.00
0:0,259,297,290,31.00,33.00
0:0,260,297,290,31.00,33.00
0:0,259,294,290,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,260,296,289,31.00,33.00
0:0,260,295,290,31.00,33.00
0:0,257,295,289,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,257,295,290,31.00,33.00
0:0,260,296,290,31.00,33.00
0:0,259,296,291,31.00,33.00
0:0,260,297,291,31.00,33.00
0:0,259,296,291,31.00,33.00
0:0,259,296,290,31.00,33.00
0:0,259,296,290,30.90,32.00
0:0,260,296,289,30.90,32.00
0:0,259,295,289,30.90,32.00
0:0,259,295,289,30.90,32.00
0:0,259,295,290,31.00,33.00
0:0,260,297,290,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,260,294,289,31.00,33.00
0:0,258,295,289,30.90,32.00
0:0,258,296,289,30.90,32.00
0:0,259,295,288,30.90,32.00
0:0,259,294,288,30.90,32.00
0:0,259,294,289,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,260,297,289,31.00,33.00
0:0,258,295,289,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,257,294,289,31.00,33.00
0:0,259,294,289,31.00,33.00
0:0,259,294,288,31.00,33.00
0:0,260,295,290,31.00,33.00
0:0,259,295,290,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,258,294,288,30.90,32.00
0:0,258,294,290,30.90,32.00
0:0,258,294,288,30.90,32.00
0:0,257,294,289,30.90,32.00
0:0,258,293,290,30.90,32.00
0:0,258,294,289,30.90,32.00
0:0,258,295,289,30.90,32.00
0:0,258,294,288,30.90,32.00
0:0,257,295,290,31.00,33.00
0:0,258,295,289,31.00,33.00
0:0,258,295,289,31.00,33.00
0:0,259,294,289,31.00,33.00
0:0,258,294,289,31.00,33.00
0:0,259,295,289,31.00,33.00
0:0,258,294,289,31.00,33.00
0:0,258,294,288,31.00,33.00
0:0,258,294,287,31.00,33.00
0:0,258,295,288,31.00,33.00
0:0,257,294,288,31.00,33.00
0:0,257,295,288,31.00,33.00
0:0,258,294,287,30.80,33.00
0:0,258,294,288,30.80,33.00
0:0,257,295,288,30.80,33.00
0:0,258,294,288,30.80,33.00
0:0,257,293,287,30.90,33.00
0:0,257,294,288,30.90,33.00
0:0,257,293,287,30.90,33.00
0:0,257,293,286,30.90,33.00
0:0,257,293,287,30.90,32.00
0:0,257,294,288,30.90,32.00
0:0,258,293,287,30.90,32.00
0:0,258,293,287,30.90,32.00
0:0,258,294,287,30.90,32.00
0:0,258,294,287,30.90,32.00
0:0,258,294,288,30.90,32.00
0:0,257,295,288,30.90,32.00
0:0,258,294,287,30.80,32.00
0:0,258,295,288,30.80,32.00
0:0,258,294,287,30.80,32.00
0:0,258,294,287,30.80,32.00
0:0,258,294,287,30.90,32.00
0:0,259,294,288,30.90,32.00
0:0,258,295,288,30.90,32.00
0:0,259,294,288,30.90,32.00
0:0,258,294,287,31.00,33.00
0:0,258,294,288,31.00,33.00
0:0,258,294,288,31.00,33.00
0:0,258,294,287,31.00,33.00
0:0,258,294,287,31.00,33.00
0:0,258,295,288,31.00,33.00
0:0,258,294,287,31.00,33.00
0:0,258,295,288,31.00,33.00
0:0,258,294,287,30.90,32.00
0:0,258,293,288,30.90,32.00
0:0,257,295,288,30.90,32.00
0:0,258,295,288,30.90,32.00
0:0,256,295,288,30.80,32.00
0:0,258,294,289,30.80,32.00
0:0,258,295,289,30.80,32.00
0:0,258,294,288,30.80,32.00
0:0,258,294,289,30.80,32.00
0:0,258,295,289,30.80,32.00
0:0,257,294,288,30.80,32.00
0:0,258,294,288,30.80,32.00
0:0,257,295,289,30.80,32.00
0:0,257,294,288,30.80,32.00
0:0,258,293,288,30.80,32.00
0:0,258,293,287,30.80,32.00
0:0,257,294,289,30.80,32.00
0:0,257,295,290,30.80,32.00
0:0,258,293,289,30.80,32.00
0:0,258,294,288,30.80,32.00
0:0,258,294,290,30.90,32.00
0:0,258,294,288,30.90,32.00
0:0,257,295,289,30.90,32.00
0:0,257,295,289,30.90,32.00
0:0,259,291,287,30.80,32.00
0:0,258,281,281,30.80,32.00
0:0,257,279,278,30.80,32.00
0:0,258,278,277,30.80,32.00
0:0,258,278,277,30.80,32.00
0:0,257,279,278,30.80,32.00
0:0,258,279,278,30.80,32.00
0:0,257,279,277,30.80,32.00
0:0,258,279,278,30.80,32.00
0:0,258,278,278,30.80,32.00
0:0,258,280,277,30.80,32.00
0:0,258,278,277,30.80,32.00
0:0,258,280,277,30.80,32.00
0:0,258,278,277,30.80,32.00
0:0,257,279,277,30.80,32.00
0:0,257,279,277,30.80,32.00
0:0,257,279,278,30.70,32.00
0:0,258,279,278,30.70,32.00
0:0,258,280,277,30.70,32.00
0:0,258,278,277,30.70,32.00
0:0,259,279,277,30.80,32.00
0:0,259,279,278,30.80,32.00
0:0,257,280,278,30.80,32.00
0:0,259,280,277,30.80,32.00
0:0,260,280,277,30.80,32.00
