TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,511,369,398,29.50,36.00
0:0,511,371,395,29.50,36.00
0:0,511,368,397,29.50,36.00
0:0,511,370,398,29.50,36.00
0:0,511,370,397,29.50,36.00
0:0,513,371,400,29.50,36.00
0:0,511,370,398,29.50,36.00
0:0,511,371,399,29.50,36.00
0:0,511,370,399,29.50,36.00
0:0,512,369,399,29.50,36.00
0:0,511,368,398,29.50,36.00
0:0,511,369,398,29.50,36.00
0:0,511,371,399,29.50,37.00
0:0,511,369,398,29.50,37.00
0:0,513,371,397,29.50,37.00
0:0,511,370,399,29.50,37.00
0:0,511,371,395,29.60,37.00
0:0,511,370,399,29.60,37.00
0:0,511,371,400,29.60,37.00
0:0,511,369,398,29.60,37.00
0:0,511,370,398,29.60,37.00
0:0,511,367,398,29.60,37.00
0:0,511,369,399,29.60,37.00
0:0,511,371,399,29.60,37.00
0:0,511,370,399,29.70,37.00
0:0,511,370,399,29.70,37.00
0:0,511,367,398,29.70,37.00
0:0,510,369,398,29.70,37.00
0:0,511,371,397,29.60,37.00
0:0,510,371,397,29.60,37.00
0:0,510,371,396,29.60,37.00
0:0,510,370,398,29.60,37.00
0:0,510,370,398,29.60,37.00
0:0,510,370,397,29.60,37.00
0:0,510,372,400,29.60,37.00
0:0,510,367,397,29.60,37.00
0:0,510,370,400,29.60,38.00
0:0,510,371,398,29.60,38.00
0:0,510,371,397,29.60,38.00
0:0,510,371,399,29.60,38.00
0:0,510,370,398,29.70,38.00
0:0,510,369,399,29.70,38.00
0:0,510,370,397,29.70,38.00
0:0,510,370,398,29.70,38.00
0:0,510,370,400,29.70,38.00
0:0,510,369,399,29.70,38.00
0:0,512,370,399,29.70,38.00
0:0,510,370,398,29.70,38.00
0:0,510,370,400,29.70,37.00
0:0,510,369,399,29.70,37.00
0:0,510,372,396,29.70,37.00
0:0,510,366,397,29.70,37.00
0:0,510,371,400,29.70,37.00
0:0,510,369,399,29.70,37.00
0:0,510,371,396,29.70,37.00
0:0,510,370,399,29.70,37.00
0:0,510,370,399,29.70,36.00
0:0,510,370,397,29.70,36.00
0:0,510,371,399,29.70,36.00
0:0,510,371,399,29.70,36.00
0:0,510,369,400,29.70,37.00
0:0,510,370,398,29.70,37.00
0:0,510,369,399,29.70,37.00
0:0,510,371,400,29.70,37.00
0:0,510,367,399,29.70,37.00
0:0,510,371,399,29.70,37.00
0:0,510,370,399,29.70,37.00
0:0,510,370,399,29.70,37.00
0:0,510,371,399,29.70,37.00
0:0,510,371,398,29.70,37.00
0:0,510,369,399,29.70,37.00
0:0,510,371,399,29.70,37.00
0:0,510,371,398,29.70,37.00
0:0,510,370,399,29.70,37.00
0:0,510,370,397,29.70,37.00
0:0,510,370,399,29.70,37.00
0:0,510,371,397,29.90,37.00
0:0,510,372,399,29.90,37.00
0:0,511,370,399,29.90,37.00
0:0,510,370,398,29.90,37.00
0:0,511,370,395,29.70,38.00
0:0,510,370,399,29.70,38.00
0:0,510,371,398,29.70,38.00
0:0,510,370,396,29.70,38.00
0:0,510,367,398,29.90,38.00
0:0,510,371,399,29.90,38.00
0:0,509,368,397,29.90,38.00
0:0,509,370,399,29.90,38.00
0:0,509,370,398,29.80,37.00
0:0,509,371,398,29.80,37.00
0:0,509,371,398,29.80,37.00
0:0,509,369,398,29.80,37.00
0:0,509,370,398,29.80,37.00
0:0,510,371,399,29.80,37.00
0:0,508,368,398,29.80,37.00
0:0,507,370,399,29.80,37.00
0:0,506,368,399,29.70,37.00
0:0,506,372,399,29.70,37.00
0:0,505,369,398,29.70,37.00
0:0,479,369,398,29.70,37.00
0:0,465,370,398,29.80,36.00
0:0,483,368,398,29.80,36.00
0:0,486,370,399,29.80,36.00
0:0,489,370,395,29.80,36.00
0:0,494,368,399,29.80,36.00
0:0,496,369,398,29.80,36.00
0:0,496,367,398,29.80,36.00
0:0,495,367,397,29.80,36.00
0:0,494,365,395,29.90,36.00
0:0,493,367,397,29.90,36.00
0:0,494,366,398,29.90,36.00
0:0,494,367,397,29.90,36.00
0:0,495,367,397,29.90,37.00
0:0,495,368,397,29.90,37.00
0:0,495,368,396,29.90,37.00
0:0,497,367,397,29.90,37.00
0:0,503,367,397,29.80,37.00
0:0,507,369,396,29.80,37.00
0:0,507,368,397,29.80,37.00
0:0,507,367,398,29.80,37.00
0:0,492,371,399,29.90,36.00
0:0,505,367,395,29.90,36.00
0:0,505,364,397,29.90,36.00
0:0,506,366,397,29.90,36.00
0:0,506,365,397,29.90,36.00
0:0,506,363,397,29.90,36.00
0:0,507,366,397,29.90,36.00
0:0,506,366,393,29.90,36.00
0:0,506,366,396,29.90,37.00
0:0,506,366,393,29.90,37.00
0:0,506,366,397,29.90,37.00
0:0,506,366,397,29.90,37.00
0:0,504,367,397,29.90,37.00
0:0,493,368,398,29.90,37.00
0:0,479,370,398,29.90,37.00
0:0,477,370,398,29.90,37.00
0:0,481,370,397,29.90,37.00
0:0,485,369,399,29.90,37.00
0:0,478,369,399,29.90,37.00
0:0,475,370,399,29.90,37.00
0:0,476,369,399,30.00,36.00
