TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
19:26,8,388,92,29.70,34.00
19:26,9,392,93,28.90,34.00
19:26,7,390,93,28.90,34.00
19:26,6,392,94,28.90,34.00
19:26,7,390,90,28.90,34.00
19:26,9,392,96,28.90,34.00
19:26,8,391,92,28.90,34.00
19:26,9,390,95,28.90,34.00
19:26,8,391,93,28.90,34.00
19:26,9,392,96,28.90,34.00
19:26,7,389,96,29.00,35.00
19:26,9,390,93,28.90,34.00
19:26,7,388,92,28.90,34.00
19:26,7,389,93,28.90,34.00
19:26,7,390,93,28.90,34.00
19:26,7,388,90,28.90,34.00
19:26,7,391,93,28.90,34.00
19:26,7,389,92,28.90,34.00
19:26,7,388,90,28.90,34.00
19:26,9,391,96,28.90,34.00
19:26,7,389,87,28.90,34.00
19:26,9,383,93,28.80,34.00
19:26,9,390,93,28.90,34.00
19:26,6,382,94,28.90,34.00
19:26,6,390,94,28.70,34.00
19:26,8,389,93,28.80,34.00
19:27,1,388,96,28.70,34.00
19:27,4,385,96,28.80,34.00
19:27,9,386,94,28.80,34.00
19:27,3,386,94,28.70,34.00
19:27,8,385,94,28.70,34.00
19:27,10,387,87,28.70,34.00
19:27,6,387,92,28.70,34.00
19:27,9,389,90,28.70,34.00
19:27,8,389,91,28.70,34.00
19:27,8,387,92,28.70,34.00
19:27,9,387,92,28.70,34.00
19:27,5,382,96,28.70,34.00
19:27,7,387,93,28.70,34.00
19:27,4,387,93,28.70,34.00
19:27,8,388,96,28.60,34.00
19:27,7,387,92,28.60,34.00
19:27,4,389,93,28.60,34.00
19:27,4,389,93,28.60,34.00
19:27,8,387,92,28.60,34.00
19:27,8,385,96,28.60,34.00
19:27,6,388,92,28.60,34.00
19:27,7,386,86,28.60,34.00
19:27,4,389,93,28.60,34.00
19:27,6,389,93,28.60,34.00
19:27,3,389,96,28.60,34.00
19:27,10,386,93,28.50,34.00
19:28,9,384,93,28.40,34.00
19:28,8,388,92,28.40,34.00
19:28,7,386,92,28.50,34.00
19:28,3,383,89,28.40,34.00
19:28,3,386,92,28.50,34.00
19:28,2,386,87,28.40,34.00
19:28,8,388,94,28.50,34.00
19:28,3,381,93,28.40,34.00
19:28,4,388,87,28.50,34.00
19:28,6,385,90,28.40,34.00
19:28,7,387,91,28.40,34.00
19:28,8,388,92,28.30,34.00
19:28,6,384,90,28.40,34.00
19:28,7,388,92,28.50,34.00
19:28,6,386,92,28.30,34.00
19:28,8,385,92,28.40,34.00
19:28,3,387,92,28.40,34.00
19:28,7,384,92,28.40,34.00
19:28,7,386,92,28.40,34.00
19:28,8,382,93,28.30,34.00
19:28,7,384,90,28.30,34.00
19:28,8,384,94,28.30,34.00
19:28,8,388,92,28.30,34.00
19:28,4,386,91,28.40,34.00
19:28,4,388,92,28.20,34.00
19:28,7,386,87,28.20,34.00
19:29,6,386,87,28.30,34.00
19:29,8,387,93,28.30,34.00
19:29,3,386,92,28.20,34.00
19:29,8,387,93,28.10,34.00
19:29,6,386,93,28.20,34.00
19:29,3,386,92,28.20,34.00
19:29,7,385,87,28.20,34.00
19:29,7,385,92,28.10,34.00
19:29,9,384,93,28.10,34.00
19:29,7,387,92,28.10,34.00
19:29,2,385,88,28.10,34.00
19:29,7,385,91,28.10,34.00
19:29,8,382,93,28.10,34.00
19:29,8,388,96,28.10,34.00
19:29,8,382,91,28.10,34.00
19:29,7,385,91,28.20,34.00
19:29,3,387,93,28.10,34.00
19:29,8,387,92,28.10,34.00
19:29,4,387,87,28.10,34.00
19:29,6,386,87,28.10,34.00
19:29,4,380,91,28.10,34.00
19:29,8,386,93,28.10,34.00
19:29,8,386,91,28.10,34.00
19:29,7,386,93,28.00,34.00
19:29,4,385,91,28.00,34.00
19:29,4,384,92,28.10,34.00
19:29,7,385,93,28.00,34.00
19:30,8,386,93,28.10,34.00
19:30,8,386,92,28.00,34.00
19:30,4,387,92,28.10,34.00
19:30,6,386,91,28.10,34.00
19:30,7,383,91,28.00,34.00
19:30,7,385,96,28.00,35.00
19:30,7,386,85,28.00,35.00
19:30,3,385,92,28.00,35.00
19:30,7,386,93,27.90,34.00
19:30,6,386,91,28.00,35.00
19:30,8,380,91,27.90,34.00
19:30,5,387,92,28.00,35.00
19:30,8,386,90,28.00,35.00
19:30,6,385,89,28.00,35.00
19:30,3,386,92,28.00,35.00
19:30,8,386,92,28.00,35.00
19:30,8,385,90,28.00,35.00
19:30,7,386,92,28.00,35.00
19:30,8,385,94,28.00,35.00
19:30,7,386,87,27.90,34.00
19:30,7,386,93,28.00,35.00
19:30,7,386,89,28.00,35.00
19:30,7,386,92,27.90,34.00
19:30,8,384,91,27.90,34.00
19:30,6,385,93,27.90,34.00
19:30,6,386,89,28.00,35.00
19:31,8,386,94,27.90,34.00
19:31,8,385,91,27.90,34.00
19:31,6,380,91,27.90,34.00
19:31,8,387,92,27.90,34.00
19:31,6,386,92,27.90,34.00
19:31,3,385,91,27.90,34.00
19:31,8,382,92,28.00,35.00
19:31,7,386,91,27.90,34.00
19:31,9,385,91,27.90,34.00
19:31,7,384,87,28.00,35.00
19:31,3,386,92,27.90,34.00
19:31,3,385,92,27.90,35.00
19:31,6,385,90,27.90,35.00
19:31,3,387,92,27.90,35.00
19:31,9,386,92,27.90,35.00
19:31,8,384,90,27.90,35.00
19:31,6,384,92,27.90,35.00
19:31,7,383,92,27.80,35.00
19:31,6,386,92,27.80,35.00
19:31,8,385,92,27.90,35.00
19:31,7,385,92,27.90,35.00
19:31,7,388,92,27.90,35.00
19:31,6,381,92,27.90,35.00
19:31,6,384,92,27.80,35.00
19:31,6,386,87,27.80,35.00
19:31,6,381,92,27.80,35.00
19:32,7,386,91,27.90,35.00
19:32,6,384,91,27.90,35.00
19:32,7,385,87,27.80,35.00
19:32,8,387,92,27.80,35.00
19:32,8,385,87,27.80,35.00
19:32,7,385,91,27.80,35.00
19:32,5,387,92,27.90,36.00
