TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,562,378,405,31.10,38.00
0:0,562,377,405,31.10,38.00
0:0,562,377,403,31.10,38.00
0:0,562,377,404,31.10,38.00
0:0,562,376,404,31.10,38.00
0:0,562,375,401,31.10,38.00
0:0,562,377,404,31.10,38.00
0:0,562,378,404,31.10,38.00
0:0,562,377,404,31.10,39.00
0:0,562,377,404,31.10,39.00
0:0,558,378,405,31.10,39.00
0:0,559,377,403,31.10,39.00
0:0,567,378,404,31.10,39.00
0:0,572,377,404,31.10,39.00
0:0,574,377,405,31.10,39.00
0:0,574,375,405,31.10,39.00
0:0,575,375,404,31.10,39.00
0:0,575,378,401,31.10,39.00
0:0,576,374,401,31.10,39.00
0:0,576,375,404,31.10,39.00
0:0,575,378,405,31.10,39.00
0:0,576,374,401,31.10,39.00
0:0,576,378,405,31.10,39.00
0:0,576,375,405,31.10,39.00
0:0,576,377,404,31.20,38.00
0:0,576,376,404,31.20,38.00
0:0,576,374,403,31.20,38.00
0:0,576,378,405,31.20,38.00
0:0,577,376,405,31.10,39.00
0:0,576,377,405,31.10,39.00
0:0,576,378,406,31.10,39.00
0:0,576,375,404,31.10,39.00
0:0,576,378,405,31.10,39.00
0:0,576,376,403,31.10,39.00
0:0,577,375,404,31.10,39.00
0:0,577,377,404,31.10,39.00
0:0,577,377,405,31.10,39.00
0:0,577,374,402,31.10,39.00
0:0,577,376,405,31.10,39.00
0:0,577,378,406,31.10,39.00
0:0,577,378,403,31.20,39.00
0:0,577,378,404,31.20,39.00
0:0,578,377,401,31.20,39.00
0:0,578,378,405,31.20,39.00
0:0,578,378,405,31.30,40.00
0:0,578,377,404,31.30,40.00
0:0,578,378,405,31.30,40.00
0:0,578,379,404,31.30,40.00
0:0,578,375,404,31.30,39.00
0:0,578,378,405,31.30,39.00
0:0,578,377,405,31.30,39.00
0:0,578,378,405,31.30,39.00
0:0,578,378,404,31.20,40.00
0:0,579,377,404,31.20,40.00
0:0,578,377,404,31.20,40.00
0:0,578,378,404,31.20,40.00
0:0,578,378,405,31.20,39.00
0:0,578,378,405,31.20,39.00
0:0,578,378,405,31.20,39.00
0:0,578,378,405,31.20,39.00
0:0,578,377,403,31.20,40.00
0:0,578,378,404,31.20,40.00
0:0,578,374,404,31.20,40.00
0:0,578,378,405,31.20,40.00
0:0,578,378,405,31.20,39.00
0:0,579,379,403,31.20,39.00
0:0,579,377,404,31.20,39.00
0:0,579,375,404,31.20,39.00
0:0,579,376,405,31.20,40.00
0:0,579,375,404,31.20,40.00
0:0,579,378,405,31.20,40.00
0:0,579,375,404,31.20,40.00
0:0,579,377,401,31.20,39.00
0:0,579,376,404,31.20,39.00
0:0,579,377,401,31.20,39.00
0:0,579,378,405,31.20,39.00
0:0,579,377,404,31.20,39.00
0:0,579,378,405,31.20,39.00
0:0,579,377,402,31.20,39.00
0:0,579,377,404,31.20,39.00
0:0,579,378,405,31.20,39.00
0:0,579,377,404,31.20,39.00
0:0,579,377,403,31.20,39.00
0:0,579,378,402,31.20,39.00
0:0,580,377,404,31.30,40.00
0:0,580,378,403,31.30,40.00
0:0,580,377,403,31.30,40.00
0:0,580,375,405,31.30,40.00
0:0,580,378,403,31.30,40.00
0:0,580,378,402,31.30,40.00
0:0,580,377,404,31.30,40.00
0:0,580,377,404,31.30,40.00
0:0,580,377,402,31.20,40.00
0:0,580,377,403,31.20,40.00
0:0,580,378,405,31.20,40.00
0:0,580,375,404,31.20,40.00
0:0,580,377,403,31.30,40.00
0:0,581,377,405,31.30,40.00
0:0,581,376,404,31.30,40.00
0:0,581,378,404,31.30,40.00
0:0,582,378,405,31.20,39.00
0:0,582,374,403,31.20,39.00
0:0,583,375,403,31.20,39.00
0:0,582,377,405,31.20,39.00
0:0,582,377,403,31.30,38.00
0:0,581,377,405,31.30,38.00
0:0,581,376,405,31.30,38.00
0:0,581,378,403,31.30,38.00
0:0,581,377,403,31.20,38.00
0:0,582,377,405,31.20,38.00
0:0,582,375,403,31.20,38.00
0:0,581,378,405,31.20,38.00
0:0,582,378,405,31.20,37.00
0:0,582,377,403,31.20,37.00
0:0,582,378,405,31.20,37.00
0:0,582,375,404,31.20,37.00
0:0,582,377,404,31.30,38.00
0:0,582,376,404,31.30,38.00
0:0,582,377,404,31.30,38.00
0:0,582,378,405,31.30,38.00
0:0,583,377,405,31.30,38.00
0:0,582,378,402,31.30,38.00
0:0,582,377,404,31.30,38.00
0:0,582,378,405,31.30,38.00
0:0,582,378,404,31.30,38.00
0:0,582,378,405,31.30,38.00
0:0,582,377,405,31.30,38.00
0:0,582,377,404,31.30,38.00
0:0,582,377,404,31.20,38.00
0:0,582,377,402,31.20,38.00
0:0,582,378,405,31.20,38.00
0:0,582,378,405,31.20,38.00
0:0,582,377,404,31.30,38.00
0:0,582,377,405,31.30,38.00
0:0,583,377,403,31.30,38.00
0:0,583,374,403,31.30,38.00
0:0,582,377,405,31.20,38.00
0:0,582,374,403,31.20,38.00
0:0,583,378,405,31.20,38.00
0:0,583,377,405,31.20,38.00
0:0,582,377,405,31.20,38.00
0:0,582,373,403,31.20,38.00
0:0,582,378,405,31.20,38.00
0:0,582,378,401,31.20,38.00
0:0,582,377,404,31.30,38.00
0:0,582,377,401,31.30,38.00
0:0,582,376,404,31.30,38.00
0:0,583,377,404,31.30,38.00
0:0,583,374,405,31.30,38.00
0:0,582,377,403,31.30,38.00
0:0,583,378,405,31.30,38.00
0:0,583,378,405,31.30,38.00
0:0,583,376,404,31.20,38.00
0:0,582,378,405,31.20,38.00
0:0,583,375,403,31.20,38.00
0:0,583,375,403,31.20,38.00
0:0,583,378,403,31.30,39.00
0:0,583,378,406,31.30,39.00
0:0,582,375,403,31.30,39.00
0:0,583,375,404,31.30,39.00
0:0,582,378,404,31.30,39.00
0:0,583,377,404,31.30,39.00
0:0,583,378,403,31.30,39.00
0:0,582,378,404,31.30,39.00
0:0,583,376,404,31.20,39.00
0:0,583,378,403,31.20,39.00
0:0,584,376,404,31.20,39.00
0:0,583,377,404,31.20,39.00
0:0,583,375,401,31.20,38.00
0:0,583,374,402,31.20,38.00
0:0,584,378,405,31.20,38.00
0:0,583,376,401,31.20,38.00
0:0,583,375,404,31.10,38.00
0:0,583,377,404,31.10,38.00
0:0,583,377,402,31.10,38.00
0:0,584,376,404,31.10,38.00
0:0,583,376,404,31.20,38.00
0:0,583,378,404,31.20,38.00
0:0,584,377,404,31.20,38.00
0:0,584,378,403,31.20,38.00
0:0,584,378,404,31.40,38.00
0:0,584,376,404,31.40,38.00
0:0,584,378,405,31.40,38.00
0:0,583,378,403,31.40,38.00
0:0,583,377,404,31.10,38.00
0:0,583,377,404,31.10,38.00
0:0,583,376,404,31.10,38.00
0:0,583,378,403,31.10,38.00
0:0,583,378,403,31.20,37.00
0:0,583,378,404,31.20,37.00
0:0,583,379,403,31.20,37.00
0:0,583,377,404,31.20,37.00
0:0,583,378,403,31.20,37.00
0:0,583,377,404,31.20,37.00
0:0,583,378,405,31.20,37.00
0:0,583,378,403,31.20,37.00
0:0,583,377,403,31.20,37.00
0:0,584,378,403,31.20,37.00
0:0,583,377,404,31.20,37.00
0:0,583,378,405,31.20,37.00
0:0,583,374,405,31.20,37.00
0:0,583,377,404,31.20,37.00
0:0,584,374,404,31.20,37.00
0:0,583,377,404,31.20,37.00
0:0,583,377,403,31.30,38.00
0:0,583,377,404,31.30,38.00
0:0,583,377,403,31.30,38.00
0:0,583,378,403,31.30,38.00
0:0,583,378,405,31.30,38.00
0:0,583,378,405,31.30,38.00
0:0,583,377,404,31.30,38.00
0:0,583,377,401,31.30,38.00
0:0,583,376,403,31.20,39.00
0:0,583,377,404,31.20,39.00
0:0,583,378,404,31.20,39.00
0:0,583,375,404,31.20,39.00
0:0,583,377,404,31.30,39.00
0:0,583,375,403,31.30,39.00
0:0,583,376,403,31.30,39.00
0:0,583,377,405,31.30,39.00
0:0,583,378,405,31.30,39.00
0:0,583,377,405,31.30,39.00
0:0,583,376,403,31.30,39.00
0:0,583,376,403,31.30,39.00
0:0,583,376,404,31.30,38.00
0:0,583,374,403,31.30,38.00
0:0,583,377,404,31.30,38.00
0:0,583,378,401,31.30,38.00
0:0,583,377,404,31.20,38.00
0:0,583,378,401,31.20,38.00
0:0,583,375,403,31.20,38.00
0:0,583,377,402,31.20,38.00
0:0,583,378,406,31.30,38.00
0:0,583,375,402,31.30,38.00
0:0,583,375,405,31.30,38.00
0:0,583,378,403,31.30,38.00
0:0,583,377,403,31.30,37.00
0:0,583,377,404,31.30,37.00
0:0,583,377,404,31.30,37.00
0:0,583,378,401,31.30,37.00
0:0,583,375,404,31.30,37.00
0:0,583,378,404,31.30,37.00
0:0,583,374,403,31.30,37.00
0:0,583,376,403,31.30,37.00
0:0,583,377,404,31.30,37.00
0:0,583,375,404,31.30,37.00
0:0,583,378,405,31.30,37.00
0:0,583,378,405,31.30,37.00
0:0,582,376,403,31.30,37.00
0:0,583,377,404,31.30,37.00
0:0,583,376,404,31.30,37.00
0:0,583,375,403,31.30,37.00
0:0,585,375,404,31.30,37.00
0:0,583,377,405,31.30,37.00
0:0,583,374,406,31.30,37.00
0:0,583,377,405,31.30,37.00
0:0,583,377,402,31.40,37.00
0:0,583,377,400,31.40,37.00
0:0,583,376,404,31.40,37.00
0:0,583,378,404,31.40,37.00
0:0,583,378,405,31.40,37.00
0:0,584,376,404,31.40,37.00
0:0,583,377,404,31.40,37.00
0:0,583,377,404,31.40,37.00
0:0,583,377,404,31.40,38.00
0:0,583,375,403,31.40,38.00
0:0,584,378,405,31.40,38.00
0:0,584,378,405,31.40,38.00
0:0,584,377,404,31.40,38.00
0:0,584,377,404,31.40,38.00
0:0,584,376,404,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,375,403,31.40,38.00
0:0,584,377,405,31.40,38.00
0:0,584,378,404,31.40,38.00
0:0,584,378,405,31.40,38.00
0:0,584,377,403,31.30,38.00
0:0,583,375,404,31.30,38.00
0:0,583,377,404,31.30,38.00
0:0,584,378,405,31.30,38.00
0:0,583,378,401,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,376,403,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,378,405,31.40,39.00
0:0,583,377,404,31.40,39.00
0:0,583,377,403,31.40,39.00
0:0,583,377,401,31.40,39.00
0:0,583,377,403,31.40,39.00
0:0,580,375,402,31.40,39.00
0:0,583,377,401,31.40,39.00
0:0,583,378,404,31.40,39.00
0:0,583,376,404,31.40,39.00
0:0,583,378,403,31.40,39.00
0:0,583,378,404,31.40,39.00
0:0,583,377,404,31.40,39.00
0:0,583,377,404,31.40,38.00
0:0,583,376,403,31.40,38.00
0:0,583,376,405,31.40,38.00
0:0,583,375,404,31.40,38.00
0:0,583,377,401,31.50,38.00
0:0,583,377,404,31.50,38.00
0:0,583,375,403,31.50,38.00
0:0,583,375,404,31.50,38.00
0:0,582,377,404,31.50,38.00
0:0,583,378,404,31.50,38.00
0:0,583,377,405,31.50,38.00
0:0,583,377,404,31.50,38.00
0:0,583,377,404,31.50,38.00
0:0,583,377,401,31.50,38.00
0:0,583,374,401,31.50,38.00
0:0,583,375,404,31.50,38.00
0:0,583,378,403,31.40,38.00
0:0,583,378,405,31.40,38.00
0:0,583,377,405,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,376,404,31.40,38.00
0:0,583,378,405,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,378,405,31.40,38.00
0:0,583,378,403,31.40,38.00
0:0,583,375,404,31.50,38.00
0:0,583,377,405,31.50,38.00
0:0,583,376,402,31.50,38.00
0:0,583,378,405,31.50,38.00
0:0,583,378,401,31.50,39.00
0:0,583,378,405,31.50,39.00
0:0,583,377,403,31.50,39.00
0:0,583,377,403,31.50,39.00
0:0,583,378,404,31.40,38.00
0:0,583,377,404,31.40,38.00
0:0,583,376,404,31.40,38.00
0:0,583,377,403,31.40,38.00
0:0,583,375,404,31.50,38.00
0:0,583,376,404,31.50,38.00
0:0,583,377,404,31.50,38.00
0:0,583,375,404,31.50,38.00
0:0,583,378,401,31.50,38.00
0:0,583,377,404,31.50,38.00
0:0,583,376,404,31.50,38.00
0:0,583,377,405,31.50,38.00
0:0,583,378,404,31.40,38.00
0:0,583,378,402,31.40,38.00
