TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
252:57,471,426,68,28.10,28.00
252:57,464,425,72,28.10,28.00
252:57,464,427,71,28.10,28.00
252:57,465,426,70,28.10,28.00
252:57,465,426,67,28.10,28.00
252:57,466,426,67,28.10,28.00
252:57,466,427,69,28.10,28.00
252:57,466,426,68,28.10,28.00
252:57,471,426,68,28.10,28.00
252:57,472,427,68,28.10,28.00
252:57,473,426,71,28.10,28.00
252:57,473,425,70,28.10,28.00
252:57,472,426,71,28.10,28.00
252:57,465,426,68,28.10,28.00
252:57,456,426,71,28.10,28.00
252:57,453,425,71,28.10,28.00
252:57,449,425,70,28.10,28.00
252:57,447,426,71,28.10,28.00
252:57,448,425,70,28.10,28.00
252:57,456,427,70,28.10,28.00
252:57,466,426,68,28.20,28.00
252:57,472,425,71,28.20,28.00
252:57,472,426,71,28.20,28.00
252:57,472,426,70,28.20,28.00
252:57,471,425,69,28.20,28.00
252:57,471,427,71,28.20,28.00
252:57,471,426,71,28.20,28.00
252:57,472,427,71,28.20,28.00
252:57,471,425,70,28.20,27.00
252:57,472,425,68,28.20,27.00
252:57,472,426,70,28.20,27.00
252:57,471,425,71,28.20,27.00
252:57,462,419,71,28.20,27.00
252:57,452,425,71,28.20,27.00
252:57,450,424,71,28.20,27.00
252:57,455,423,68,28.20,27.00
252:57,463,425,70,28.30,26.00
252:57,445,427,72,28.30,26.00
252:57,473,426,72,28.30,26.00
252:57,474,425,71,28.30,26.00
252:57,474,425,70,28.20,26.00
252:57,475,425,74,28.20,26.00
252:57,474,425,72,28.20,26.00
252:57,474,426,71,28.20,26.00
252:57,474,425,70,28.30,26.00
252:57,474,425,71,28.30,26.00
252:57,475,425,72,28.30,26.00
252:57,474,421,72,28.30,26.00
252:57,475,422,71,28.30,26.00
252:57,474,425,73,28.30,26.00
252:57,474,424,74,28.30,26.00
252:57,474,425,71,28.30,26.00
252:57,474,424,71,28.30,26.00
252:57,474,423,72,28.30,26.00
252:57,475,426,73,28.30,26.00
252:57,474,425,71,28.30,26.00
252:57,474,426,71,28.30,26.00
252:57,475,426,72,28.30,26.00
252:57,474,426,72,28.30,26.00
252:57,473,421,70,28.30,26.00
252:57,473,425,70,28.40,26.00
252:57,474,425,72,28.40,26.00
252:57,473,425,72,28.40,26.00
252:57,474,425,68,28.40,26.00
252:57,473,422,71,28.30,26.00
252:57,471,425,72,28.30,26.00
252:57,463,420,71,28.30,26.00
