TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,304,328,336,29.70,31.00
0:0,304,330,337,29.70,31.00
0:0,303,331,339,29.70,31.00
0:0,303,330,339,29.70,31.00
0:0,300,332,338,29.70,31.00
0:0,294,334,340,29.80,31.00
0:0,293,334,341,29.80,31.00
0:0,292,335,342,29.80,31.00
0:0,286,336,339,29.80,31.00
0:0,281,336,341,29.70,32.00
0:0,278,335,345,29.70,32.00
0:0,278,337,344,29.70,32.00
0:0,278,338,342,29.70,32.00
0:0,277,335,343,29.70,32.00
0:0,276,339,345,29.70,32.00
0:0,276,339,345,29.70,32.00
0:0,277,336,344,29.70,32.00
0:0,277,336,345,29.80,32.00
0:0,278,338,345,29.80,32.00
0:0,278,337,343,29.80,32.00
0:0,277,336,341,29.80,32.00
0:0,277,335,344,29.70,33.00
0:0,280,335,341,29.70,33.00
0:0,282,332,337,29.70,33.00
0:0,284,332,337,29.70,33.00
0:0,280,329,337,29.70,33.00
0:0,282,332,336,29.70,33.00
0:0,284,329,337,29.70,33.00
0:0,286,330,334,29.70,33.00
0:0,285,332,337,29.70,32.00
0:0,285,333,338,29.70,32.00
0:0,284,332,338,29.70,32.00
0:0,285,331,335,29.70,32.00
0:0,285,331,336,29.70,33.00
0:0,285,332,337,29.70,33.00
0:0,286,331,336,29.70,33.00
0:0,285,329,335,29.70,33.00
0:0,285,331,337,29.80,34.00
0:0,284,331,337,29.80,34.00
0:0,285,331,338,29.80,34.00
0:0,285,329,337,29.80,34.00
0:0,283,330,336,29.80,34.00
0:0,285,332,338,29.80,34.00
0:0,285,330,337,29.80,34.00
0:0,284,332,338,29.80,34.00
0:0,285,332,336,29.80,34.00
0:0,285,332,339,29.80,34.00
0:0,284,331,338,29.80,34.00
0:0,285,331,338,29.80,34.00
0:0,286,330,338,29.80,33.00
0:0,291,330,337,29.80,33.00
0:0,300,330,337,29.80,33.00
0:0,303,329,336,29.80,33.00
0:0,321,327,337,29.70,33.00
0:0,319,334,340,29.70,33.00
0:0,324,327,336,29.70,33.00
0:0,333,328,333,29.70,33.00
0:0,331,330,335,29.70,33.00
0:0,329,332,338,29.70,33.00
0:0,327,332,337,29.70,33.00
0:0,325,332,336,29.70,33.00
0:0,323,332,338,29.90,32.00
0:0,320,333,340,29.90,32.00
0:0,318,333,339,29.90,32.00
0:0,316,329,337,29.90,32.00
0:0,318,331,339,29.70,33.00
0:0,318,333,340,29.70,33.00
0:0,317,333,339,29.70,33.00
0:0,316,334,337,29.70,33.00
0:0,317,331,339,29.80,32.00
0:0,317,332,336,29.80,32.00
0:0,316,334,340,29.80,32.00
0:0,317,332,335,29.80,32.00
0:0,316,328,336,29.90,32.00
0:0,318,327,336,29.90,32.00
0:0,319,324,332,29.90,32.00
0:0,319,321,330,29.90,32.00
0:0,318,319,326,29.90,32.00
0:0,317,319,327,29.90,32.00
0:0,317,316,326,29.90,32.00
0:0,317,316,325,29.90,32.00
0:0,316,315,324,29.90,32.00
0:0,315,314,324,29.90,32.00
0:0,315,314,323,29.90,32.00
0:0,314,313,325,29.90,32.00
0:0,314,314,325,29.90,32.00
0:0,316,313,325,29.90,32.00
0:0,326,307,321,29.90,32.00
0:0,330,309,321,29.90,32.00
0:0,313,308,319,29.90,31.00
0:0,326,308,319,29.90,31.00
0:0,322,307,320,29.90,31.00
0:0,321,308,318,29.90,31.00
0:0,321,306,318,29.90,31.00
0:0,317,308,319,29.90,31.00
0:0,317,308,319,29.90,31.00
0:0,318,308,320,29.90,31.00
0:0,320,309,320,29.70,31.00
0:0,317,308,317,29.70,31.00
0:0,321,307,320,29.70,31.00
0:0,320,308,317,29.70,31.00
0:0,317,308,319,29.90,32.00
0:0,317,306,318,29.90,32.00
0:0,318,305,319,29.90,32.00
0:0,319,308,319,29.90,32.00
0:0,318,308,318,29.90,32.00
0:0,319,307,319,29.90,32.00
0:0,319,306,319,29.90,32.00
0:0,320,307,319,29.90,32.00
0:0,322,309,319,29.90,32.00
0:0,324,308,321,29.90,32.00
0:0,324,308,319,29.90,32.00
0:0,322,308,319,29.90,32.00
0:0,306,310,322,29.90,32.00
0:0,307,309,322,29.90,32.00
0:0,315,310,321,29.90,32.00
0:0,318,309,320,29.90,32.00
0:0,318,309,321,29.90,31.00
0:0,317,309,320,29.90,31.00
0:0,319,309,321,29.90,31.00
0:0,318,308,319,29.90,31.00
0:0,318,308,318,29.90,32.00
0:0,320,309,319,29.90,32.00
0:0,318,311,320,29.90,32.00
0:0,316,310,318,29.90,32.00
0:0,317,307,320,29.90,32.00
0:0,319,310,322,29.90,32.00
0:0,318,310,321,29.90,32.00
0:0,318,310,321,29.90,32.00
0:0,315,307,320,29.90,31.00
0:0,316,307,320,29.90,31.00
0:0,317,309,319,29.90,31.00
0:0,317,309,320,29.90,31.00
0:0,318,309,320,29.80,32.00
0:0,318,310,320,29.80,32.00
0:0,319,310,321,29.80,32.00
0:0,320,310,322,29.80,32.00
0:0,319,310,324,29.90,31.00
0:0,321,311,324,29.90,31.00
0:0,326,312,324,29.90,31.00
0:0,326,309,323,29.90,31.00
0:0,325,311,324,29.90,32.00
0:0,322,312,323,29.90,32.00
0:0,322,310,323,29.90,32.00
0:0,320,312,322,29.90,32.00
0:0,319,311,324,29.80,31.00
0:0,319,312,322,29.80,31.00
0:0,320,311,324,29.80,31.00
0:0,320,309,323,29.80,31.00
0:0,320,309,323,29.90,32.00
0:0,319,312,324,29.90,32.00
0:0,319,312,323,29.90,32.00
0:0,319,311,324,29.90,32.00
0:0,319,312,324,30.00,31.00
0:0,319,311,324,30.00,31.00
0:0,319,309,324,30.00,31.00
0:0,319,311,323,30.00,31.00
0:0,319,312,324,29.90,31.00
0:0,319,312,328,29.90,31.00
0:0,320,311,325,29.90,31.00
0:0,324,309,323,29.90,31.00
0:0,323,312,325,29.90,31.00
0:0,316,312,323,29.90,31.00
0:0,310,311,325,29.90,31.00
0:0,310,309,322,29.90,31.00
0:0,311,311,324,30.00,31.00
0:0,311,311,324,30.00,31.00
0:0,311,313,323,30.00,31.00
0:0,313,312,324,30.00,31.00
0:0,310,311,323,30.00,32.00
0:0,311,312,323,30.00,32.00
0:0,311,312,321,30.00,32.00
0:0,311,311,325,30.00,32.00
0:0,312,313,322,30.00,32.00
0:0,312,311,325,30.00,32.00
0:0,310,314,325,30.00,32.00
0:0,311,311,324,30.00,32.00
0:0,308,311,324,29.90,31.00
0:0,310,312,323,29.90,31.00
0:0,312,311,323,29.90,31.00
0:0,311,311,323,29.90,31.00
0:0,312,309,323,29.90,31.00
0:0,311,312,323,29.90,31.00
0:0,313,311,324,29.90,31.00
0:0,313,311,324,29.90,31.00
0:0,312,311,322,30.00,31.00
0:0,313,312,323,30.00,31.00
0:0,316,312,323,30.00,31.00
0:0,321,311,326,30.00,31.00
0:0,327,313,326,30.00,31.00
0:0,328,312,327,30.00,31.00
0:0,329,311,328,30.00,31.00
0:0,327,312,326,30.00,31.00
0:0,329,311,326,29.90,32.00
0:0,329,314,325,29.90,32.00
0:0,327,312,323,29.90,32.00
0:0,327,311,323,29.90,32.00
0:0,326,312,323,30.10,32.00
0:0,326,313,323,30.10,32.00
0:0,326,311,325,30.10,32.00
0:0,324,312,325,30.10,32.00
0:0,326,311,325,30.10,33.00
0:0,326,312,328,30.10,33.00
0:0,326,313,326,30.10,33.00
0:0,327,314,327,30.10,33.00
0:0,327,313,327,30.00,32.00
0:0,327,313,325,30.00,32.00
0:0,327,312,327,30.00,32.00
0:0,326,314,327,30.00,32.00
0:0,326,312,327,29.90,33.00
0:0,326,312,327,29.90,33.00
0:0,325,314,327,29.90,33.00
0:0,325,313,325,29.90,33.00
0:0,326,314,327,30.00,33.00
0:0,326,311,326,30.00,33.00
0:0,326,314,325,30.00,33.00
0:0,326,313,326,30.00,33.00
0:0,326,311,326,30.00,33.00
0:0,325,314,328,30.00,33.00
0:0,326,311,328,30.00,33.00
0:0,325,313,326,30.00,33.00
0:0,326,312,327,30.00,34.00
0:0,326,314,328,30.00,34.00
0:0,325,314,328,30.00,34.00
0:0,326,314,326,30.00,34.00
0:0,325,311,325,30.10,34.00
0:0,327,313,325,30.10,34.00
0:0,326,314,327,30.10,34.00
0:0,327,313,328,30.10,34.00
0:0,333,314,328,30.00,34.00
0:0,334,313,329,30.00,34.00
0:0,335,314,327,30.00,34.00
0:0,336,315,329,30.00,34.00
0:0,336,314,329,30.00,34.00
0:0,335,315,329,30.00,34.00
0:0,336,314,329,30.00,34.00
0:0,334,316,330,30.00,34.00
0:0,315,313,329,30.00,33.00
0:0,305,315,331,30.00,33.00
0:0,290,315,331,30.00,33.00
0:0,289,313,329,30.00,33.00
0:0,284,316,330,29.90,33.00
0:0,286,317,331,29.90,33.00
0:0,283,318,331,29.90,33.00
0:0,283,318,332,29.90,33.00
0:0,282,317,330,30.00,32.00
0:0,283,319,332,30.00,32.00
0:0,284,318,333,30.00,32.00
0:0,283,320,333,30.00,32.00
0:0,283,317,332,30.00,31.00
0:0,285,318,333,30.00,31.00
0:0,288,317,330,30.00,31.00
0:0,294,316,330,30.00,31.00
0:0,295,316,330,30.10,31.00
0:0,304,316,332,30.10,31.00
0:0,321,316,327,30.10,31.00
0:0,322,316,331,30.10,31.00
0:0,320,317,332,30.00,30.00
0:0,317,318,331,30.00,30.00
0:0,316,317,334,30.00,30.00
0:0,316,319,334,30.00,30.00
0:0,315,322,335,29.90,30.00
0:0,315,324,336,29.90,30.00
0:0,317,324,337,29.90,30.00
0:0,318,313,330,29.90,30.00
0:0,322,311,319,30.00,29.00
0:0,326,309,318,30.00,29.00
0:0,316,312,318,30.00,29.00
0:0,324,311,318,30.00,29.00
0:0,325,312,318,30.10,29.00
0:0,324,309,319,30.10,29.00
