TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,610,538,481,29.60,32.00
0:0,609,560,521,29.60,32.00
0:0,609,567,538,29.60,32.00
0:0,609,568,544,29.60,32.00
0:0,610,569,547,29.60,32.00
0:0,609,568,546,29.60,32.00
0:0,609,568,546,29.60,32.00
0:0,610,568,547,29.60,32.00
0:0,609,568,547,29.60,32.00
0:0,610,567,545,29.60,32.00
0:0,609,567,545,29.60,32.00
0:0,609,567,545,29.60,32.00
0:0,609,567,545,29.70,32.00
0:0,609,566,544,29.70,32.00
0:0,611,567,545,29.70,32.00
0:0,610,566,545,29.70,32.00
0:0,610,566,545,29.70,32.00
0:0,609,565,543,29.70,32.00
0:0,610,565,544,29.70,32.00
0:0,609,566,544,29.70,32.00
0:0,609,565,543,29.70,32.00
0:0,609,564,542,29.70,32.00
0:0,609,564,542,29.70,32.00
0:0,610,565,543,29.70,32.00
0:0,610,564,543,29.80,32.00
0:0,609,564,542,29.80,32.00
0:0,609,565,542,29.80,32.00
0:0,609,565,543,29.80,32.00
0:0,609,564,543,29.80,32.00
0:0,609,563,541,29.80,32.00
0:0,609,563,541,29.80,32.00
0:0,609,564,541,29.80,32.00
0:0,609,564,542,29.80,32.00
0:0,609,563,540,29.80,32.00
0:0,609,563,541,29.80,32.00
0:0,609,563,542,29.80,32.00
0:0,609,563,541,29.80,32.00
0:0,609,562,540,29.80,32.00
0:0,609,562,540,29.80,32.00
0:0,609,564,542,29.80,32.00
0:0,609,563,541,29.80,31.00
0:0,609,562,539,29.80,31.00
0:0,609,562,540,29.80,31.00
0:0,609,563,540,29.80,31.00
0:0,609,563,541,29.80,31.00
0:0,610,562,540,29.80,31.00
0:0,609,563,540,29.80,31.00
0:0,609,562,540,29.80,31.00
0:0,608,564,541,29.80,31.00
0:0,609,562,539,29.80,31.00
0:0,609,562,540,29.80,31.00
0:0,609,563,540,29.80,31.00
0:0,610,562,540,29.90,31.00
0:0,609,561,538,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,609,563,540,29.80,31.00
0:0,609,561,538,29.80,31.00
0:0,609,562,539,29.80,31.00
0:0,609,562,539,29.80,31.00
0:0,610,562,539,29.90,31.00
0:0,609,561,538,29.90,31.00
0:0,609,561,538,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,609,564,540,29.90,31.00
0:0,610,561,538,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,610,562,540,29.90,31.00
0:0,609,563,540,29.90,31.00
0:0,610,562,538,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,609,563,540,29.90,31.00
0:0,609,562,540,30.00,31.00
0:0,610,562,539,30.00,31.00
0:0,609,562,539,30.00,31.00
0:0,610,562,539,30.00,31.00
0:0,610,562,539,29.80,31.00
0:0,609,560,537,29.80,31.00
0:0,609,563,539,29.80,31.00
0:0,609,562,539,29.80,31.00
0:0,608,561,538,29.90,31.00
0:0,609,560,537,29.90,31.00
0:0,610,562,539,29.90,31.00
0:0,609,563,539,29.90,31.00
0:0,609,562,539,29.90,31.00
0:0,609,560,537,29.90,31.00
0:0,609,561,538,29.90,31.00
0:0,609,561,538,29.90,31.00
0:0,608,561,538,29.90,30.00
0:0,608,560,536,29.90,30.00
0:0,608,561,538,29.90,30.00
0:0,608,561,538,29.90,30.00
0:0,607,559,536,29.80,30.00
0:0,598,552,530,29.80,30.00
0:0,598,551,529,29.80,30.00
0:0,600,552,529,29.80,30.00
0:0,603,556,532,30.00,30.00
0:0,603,555,531,30.00,30.00
0:0,605,556,532,30.00,30.00
0:0,601,553,531,30.00,30.00
0:0,600,552,529,30.00,30.00
0:0,603,553,530,30.00,30.00
0:0,603,555,531,30.00,30.00
0:0,603,555,532,30.00,30.00
0:0,604,555,532,30.00,30.00
0:0,603,554,531,30.00,30.00
0:0,603,554,531,30.00,30.00
0:0,603,555,532,30.00,30.00
0:0,603,555,531,29.90,30.00
0:0,603,554,531,29.90,30.00
0:0,603,554,531,29.90,30.00
0:0,603,555,531,29.90,30.00
0:0,604,554,532,30.00,29.00
0:0,603,553,530,30.00,29.00
0:0,603,554,531,30.00,29.00
0:0,603,554,531,30.00,29.00
0:0,604,554,532,30.10,29.00
0:0,605,556,531,30.10,29.00
0:0,605,556,533,30.10,29.00
0:0,604,556,533,30.10,29.00
0:0,602,554,531,30.00,29.00
0:0,604,553,530,30.00,29.00
0:0,603,555,531,30.00,29.00
0:0,604,555,532,30.00,29.00
0:0,603,555,532,30.00,29.00
0:0,603,553,530,30.00,29.00
0:0,605,554,531,30.00,29.00
0:0,605,554,531,30.00,29.00
0:0,605,554,531,30.10,29.00
0:0,604,553,529,30.10,29.00
0:0,603,554,530,30.10,29.00
0:0,603,554,531,30.10,29.00
0:0,603,554,531,30.10,29.00
0:0,602,552,529,30.10,29.00
0:0,601,552,529,30.10,29.00
0:0,600,553,530,30.10,29.00
0:0,602,553,530,30.00,29.00
0:0,602,552,529,30.00,29.00
0:0,600,551,528,30.00,29.00
0:0,599,551,527,30.00,29.00
0:0,599,550,527,30.00,29.00
0:0,596,546,525,30.00,29.00
0:0,595,547,524,30.00,29.00
0:0,597,548,525,30.00,29.00
0:0,599,550,526,30.00,29.00
0:0,600,550,526,30.00,29.00
0:0,600,550,527,30.00,29.00
0:0,600,551,527,30.00,29.00
0:0,599,551,527,30.20,30.00
0:0,599,548,526,30.20,30.00
0:0,599,549,527,30.20,30.00
0:0,599,550,527,30.20,30.00
0:0,599,551,527,30.00,30.00
0:0,599,549,525,30.00,30.00
0:0,599,549,526,30.00,30.00
0:0,599,550,527,30.00,30.00
0:0,600,550,527,30.10,30.00
0:0,599,549,526,30.10,30.00
0:0,600,550,527,30.10,30.00
0:0,600,550,527,30.10,30.00
0:0,600,550,527,30.00,30.00
0:0,600,549,526,30.00,30.00
0:0,597,548,525,30.00,30.00
0:0,592,544,522,30.00,30.00
0:0,586,539,517,30.00,30.00
0:0,597,545,520,30.00,30.00
0:0,595,545,521,30.00,30.00
0:0,587,541,519,30.00,30.00
0:0,590,541,519,30.00,29.00
0:0,593,543,519,30.00,29.00
0:0,590,542,518,30.00,29.00
0:0,581,535,514,30.00,29.00
0:0,584,537,514,30.10,29.00
0:0,596,543,518,30.10,29.00
0:0,595,545,521,30.10,29.00
0:0,593,544,521,30.10,29.00
0:0,593,544,521,30.10,30.00
0:0,596,544,520,30.10,30.00
0:0,600,548,524,30.10,30.00
0:0,600,550,526,30.10,30.00
0:0,600,550,526,30.00,30.00
0:0,601,551,526,30.00,30.00
0:0,600,550,527,30.00,30.00
0:0,600,550,527,30.00,30.00
0:0,601,551,527,30.20,30.00
0:0,601,550,526,30.20,30.00
0:0,601,551,527,30.20,30.00
0:0,601,550,527,30.20,30.00
0:0,600,550,527,30.20,30.00
0:0,600,549,525,30.20,30.00
0:0,600,550,526,30.20,30.00
0:0,600,550,526,30.20,30.00
0:0,600,551,526,30.30,31.00
0:0,601,549,525,30.30,31.00
0:0,599,550,526,30.30,31.00
0:0,600,550,527,30.30,31.00
0:0,601,550,527,30.00,31.00
0:0,601,549,525,30.00,31.00
0:0,599,549,526,30.00,31.00
0:0,599,550,527,30.00,31.00
0:0,598,549,526,30.20,31.00
0:0,598,547,523,30.20,31.00
0:0,597,548,524,30.20,31.00
0:0,598,548,525,30.20,31.00
0:0,598,548,524,30.20,31.00
0:0,598,547,524,30.20,31.00
0:0,597,548,524,30.20,31.00
0:0,597,548,524,30.20,31.00
0:0,598,548,524,30.20,31.00
0:0,597,546,522,30.20,31.00
0:0,598,548,524,30.20,31.00
0:0,597,547,524,30.20,31.00
0:0,597,547,523,30.20,31.00
0:0,597,546,522,30.20,31.00
0:0,597,546,523,30.20,31.00
0:0,598,549,525,30.20,31.00
0:0,598,548,524,30.20,31.00
0:0,598,546,523,30.20,31.00
0:0,598,547,524,30.20,31.00
0:0,599,547,524,30.20,31.00
0:0,599,548,525,30.20,32.00
0:0,597,546,522,30.20,32.00
0:0,598,548,523,30.20,32.00
0:0,597,547,524,30.20,32.00
0:0,597,546,523,30.10,31.00
0:0,596,546,522,30.10,31.00
0:0,594,544,521,30.10,31.00
0:0,594,544,521,30.10,31.00
0:0,597,546,522,30.20,31.00
0:0,595,544,520,30.20,31.00
0:0,598,547,522,30.20,31.00
0:0,599,548,524,30.20,31.00
0:0,600,549,525,30.20,31.00
0:0,600,548,524,30.20,31.00
0:0,600,549,525,30.20,31.00
0:0,599,549,525,30.20,31.00
0:0,599,548,525,30.20,31.00
0:0,599,547,523,30.20,31.00
0:0,599,547,524,30.20,31.00
0:0,599,547,524,30.20,31.00
0:0,599,548,524,30.20,31.00
0:0,599,547,523,30.20,31.00
0:0,600,549,525,30.20,31.00
0:0,600,550,526,30.20,31.00
0:0,599,548,526,30.10,31.00
0:0,599,548,523,30.10,31.00
0:0,599,549,525,30.10,31.00
0:0,599,549,525,30.10,31.00
0:0,599,549,525,30.20,31.00
0:0,599,547,523,30.20,31.00
0:0,599,548,524,30.20,31.00
0:0,599,548,524,30.20,31.00
0:0,599,547,524,30.20,31.00
0:0,599,547,523,30.20,31.00
0:0,599,548,523,30.20,31.00
0:0,599,548,525,30.20,31.00
0:0,599,549,526,30.10,31.00
0:0,599,547,523,30.10,31.00
0:0,599,548,524,30.10,31.00
0:0,600,549,525,30.10,31.00
0:0,599,549,525,30.20,31.00
0:0,599,547,523,30.20,31.00
0:0,598,547,523,30.20,31.00
0:0,596,546,523,30.20,31.00
0:0,568,527,509,30.30,30.00
0:0,535,498,484,30.30,30.00
0:0,467,446,442,30.30,30.00
0:0,457,433,422,30.30,30.00
0:0,450,426,412,30.20,30.00
0:0,462,433,414,30.20,30.00
0:0,471,440,420,30.20,30.00
0:0,501,462,436,30.20,30.00
0:0,303,331,348,30.20,30.00
0:0,270,294,303,30.20,30.00
0:0,436,403,370,30.20,30.00
0:0,384,378,364,30.20,30.00
0:0,362,359,351,30.10,30.00
0:0,444,412,386,30.10,30.00
0:0,469,436,410,30.10,30.00
0:0,459,432,413,30.10,30.00
0:0,428,410,398,30.20,30.00
0:0,391,383,376,30.20,30.00
0:0,387,378,367,30.20,30.00
0:0,394,381,369,30.20,30.00
0:0,308,324,328,30.20,30.00
0:0,340,339,331,30.20,30.00
0:0,417,393,368,30.20,30.00
0:0,356,356,352,30.20,30.00
0:0,431,403,380,30.20,30.00
0:0,338,346,346,30.20,30.00
0:0,470,429,397,30.20,30.00
0:0,516,469,435,30.20,30.00
0:0,520,477,451,30.10,29.00
0:0,491,459,442,30.10,29.00
