TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
0:0,640,326,347,30.70,36.00
0:0,640,328,347,30.70,36.00
0:0,640,328,348,30.70,36.00
0:0,640,328,348,30.70,36.00
0:0,640,329,347,30.60,35.00
0:0,640,329,349,30.60,35.00
0:0,640,329,348,30.60,35.00
0:0,639,328,347,30.60,35.00
0:0,640,327,347,30.60,36.00
0:0,640,330,347,30.60,36.00
0:0,640,327,348,30.60,36.00
0:0,640,328,347,30.60,36.00
0:0,640,326,345,30.60,35.00
0:0,639,328,347,30.60,35.00
0:0,638,328,348,30.60,35.00
0:0,637,328,347,30.60,35.00
0:0,637,327,348,30.70,35.00
0:0,634,329,348,30.70,35.00
0:0,630,327,347,30.70,35.00
0:0,619,328,347,30.70,35.00
0:0,615,329,348,30.70,36.00
0:0,614,329,347,30.70,36.00
0:0,628,328,348,30.70,36.00
0:0,632,329,348,30.70,36.00
0:0,633,326,345,30.70,36.00
0:0,631,329,346,30.70,36.00
0:0,626,327,348,30.70,36.00
0:0,624,325,348,30.70,36.00
0:0,626,326,348,30.80,36.00
0:0,620,328,348,30.80,36.00
0:0,602,330,347,30.80,36.00
0:0,600,327,347,30.80,36.00
0:0,593,329,348,30.70,36.00
0:0,594,329,348,30.70,36.00
0:0,597,329,348,30.70,36.00
0:0,605,328,348,30.70,36.00
0:0,610,327,347,30.80,36.00
0:0,608,329,347,30.80,36.00
0:0,614,328,347,30.80,36.00
0:0,607,330,348,30.80,36.00
0:0,618,329,346,30.80,36.00
0:0,621,330,349,30.80,36.00
0:0,616,330,347,30.80,36.00
0:0,612,329,347,30.80,36.00
0:0,619,327,347,30.80,36.00
0:0,633,328,345,30.80,36.00
0:0,631,327,347,30.80,36.00
0:0,629,329,347,30.80,36.00
0:0,631,328,348,30.80,36.00
0:0,606,329,348,30.80,36.00
0:0,612,327,347,30.80,36.00
0:0,613,330,349,30.80,36.00
0:0,612,327,347,30.80,36.00
0:0,616,330,348,30.80,36.00
0:0,616,330,349,30.80,36.00
0:0,616,329,348,30.80,36.00
0:0,623,326,347,30.80,36.00
0:0,625,329,348,30.80,36.00
0:0,620,328,348,30.80,36.00
0:0,616,329,348,30.80,36.00
0:0,613,329,348,30.90,35.00
0:0,610,328,348,30.90,35.00
0:0,609,328,347,30.90,35.00
0:0,604,329,348,30.90,35.00
0:0,601,328,348,30.90,35.00
0:0,605,329,346,30.90,35.00
0:0,616,329,348,30.90,35.00
0:0,623,330,348,30.90,35.00
0:0,625,328,346,30.80,35.00
0:0,622,327,347,30.80,35.00
0:0,624,327,347,30.80,35.00
0:0,625,329,348,30.80,35.00
0:0,625,329,348,30.80,35.00
0:0,626,327,347,30.80,35.00
0:0,626,329,345,30.80,35.00
0:0,625,329,348,30.80,35.00
0:0,625,328,347,30.80,35.00
0:0,627,330,347,30.80,35.00
0:0,619,329,348,30.80,35.00
0:0,593,330,348,30.80,35.00
0:0,604,333,350,30.90,34.00
0:0,608,331,350,30.90,34.00
0:0,612,334,351,30.90,34.00
0:0,609,333,350,30.90,34.00
0:0,608,331,350,30.90,34.00
0:0,608,333,351,30.90,34.00
0:0,603,333,350,30.90,34.00
0:0,601,333,348,30.90,34.00
0:0,596,331,346,30.80,34.00
0:0,587,327,348,30.80,34.00
0:0,546,327,348,30.80,34.00
0:0,538,329,349,30.80,34.00
0:0,554,329,348,30.90,34.00
0:0,551,330,349,30.90,34.00
0:0,544,330,348,30.90,34.00
0:0,546,328,348,30.90,34.00
0:0,564,329,348,30.80,33.00
0:0,604,329,347,30.80,33.00
0:0,617,327,347,30.80,33.00
0:0,611,329,347,30.80,33.00
0:0,616,327,347,30.90,33.00
0:0,621,330,348,30.90,33.00
0:0,622,329,348,30.90,33.00
0:0,620,329,348,30.90,33.00
0:0,620,328,349,30.90,33.00
0:0,622,327,345,30.90,33.00
0:0,621,328,348,30.90,33.00
0:0,621,326,347,30.90,33.00
0:0,621,327,347,30.80,33.00
0:0,623,327,346,30.80,33.00
0:0,624,325,345,30.80,33.00
0:0,625,329,346,30.80,33.00
0:0,627,327,347,30.90,33.00
0:0,627,330,348,30.90,33.00
0:0,626,329,347,30.90,33.00
0:0,631,328,347,30.90,33.00
0:0,635,328,348,30.90,33.00
0:0,636,328,348,30.90,33.00
0:0,635,327,348,30.90,33.00
0:0,635,329,347,30.90,33.00
0:0,636,329,348,30.90,33.00
0:0,636,329,349,30.90,33.00
0:0,636,329,349,30.90,33.00
0:0,634,329,348,30.90,33.00
0:0,632,329,348,30.90,33.00
0:0,612,330,349,30.90,33.00
0:0,595,327,347,30.90,33.00
0:0,584,327,345,30.90,33.00
0:0,581,325,347,30.80,34.00
0:0,579,327,347,30.80,34.00
0:0,581,325,345,30.80,34.00
0:0,572,329,345,30.80,34.00
0:0,575,328,349,30.90,34.00
0:0,522,328,348,30.90,34.00
0:0,522,329,346,30.90,34.00
0:0,558,328,345,30.90,34.00
0:0,578,330,348,30.90,33.00
0:0,582,329,347,30.90,33.00
0:0,580,329,347,30.90,33.00
0:0,577,327,347,30.90,33.00
0:0,572,327,348,30.90,34.00
0:0,570,326,346,30.90,34.00
0:0,572,329,348,30.90,34.00
0:0,577,330,347,30.90,34.00
0:0,577,330,349,30.90,34.00
0:0,581,327,348,30.90,34.00
0:0,583,327,347,30.90,34.00
0:0,582,328,348,30.90,34.00
0:0,580,325,345,30.90,34.00
0:0,579,327,347,30.90,34.00
0:0,578,328,348,30.90,34.00
0:0,578,329,348,30.90,34.00
0:0,578,328,348,31.00,36.00
0:0,580,327,347,31.00,36.00
0:0,581,329,348,31.00,36.00
0:0,585,326,347,31.00,36.00
0:0,588,328,348,30.90,35.00
0:0,588,329,348,30.90,35.00
0:0,591,328,348,30.90,35.00
0:0,589,327,346,30.90,35.00
0:0,591,328,348,30.90,35.00
0:0,593,328,347,30.90,35.00
0:0,593,327,348,30.90,35.00
0:0,593,329,348,30.90,35.00
0:0,593,329,348,30.90,35.00
0:0,593,329,348,30.90,35.00
0:0,593,329,347,30.90,35.00
0:0,593,327,348,30.90,35.00
0:0,593,329,348,30.90,35.00
0:0,593,329,348,30.90,35.00
