TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
19:38,8,351,817,27.5,27
19:38,7,349,815,27.2,28
19:38,7,349,816,27.1,28
19:38,7,352,818,27.2,28
19:38,7,350,816,27.2,28
19:39,6,351,817,27.1,28
19:39,6,353,818,27.2,28
19:39,7,353,816,27.3,28
19:39,8,352,815,27.2,28
19:39,8,351,815,27.4,28
19:39,8,352,816,27.2,28
19:39,5,352,816,27.2,28
19:39,7,351,816,27.3,28
19:39,6,352,816,27.4,28
19:39,4,351,816,27.2,28
19:39,8,351,816,27.2,28
19:39,9,353,819,27.3,28
19:39,7,352,814,27.3,28
19:39,8,352,817,27.2,28
19:39,5,351,814,27.3,27
19:39,7,351,817,27.2,27
19:39,8,352,816,27.3,28
19:39,8,351,817,27.3,28
19:39,8,351,816,27.2,28
19:39,5,352,815,27.2,29
19:39,8,351,817,27.3,29
19:39,8,349,817,27.2,28
19:39,8,350,816,27.2,28
19:39,3,351,817,27.3,29
19:39,7,352,817,27.2,29
19:39,7,351,817,27.3,29
19:40,5,352,815,27.2,28
19:40,8,349,817,27.3,28
19:40,7,351,816,27.2,28
19:40,6,352,818,27.4,28
19:40,7,352,815,27.3,28
19:40,7,351,816,27.4,28
19:40,5,350,816,27.2,28
19:40,7,352,816,27.3,28
19:40,5,351,816,27.2,28
19:40,7,351,818,27.2,27
19:40,8,351,816,27.2,27
19:40,7,349,817,27.4,27
19:40,3,351,816,27.2,27
19:40,9,352,816,27.1,27
19:40,8,350,816,27.2,27
19:40,8,347,816,27.2,27
19:40,7,351,818,27.2,27
19:40,7,351,816,27.2,27
19:40,7,352,815,27.1,27
19:40,5,351,816,27.2,27
19:40,8,350,816,27.2,27
19:40,5,351,816,27.2,27
19:40,7,352,815,27.2,27
19:40,8,349,816,27.2,27
19:40,6,347,818,27.2,27
19:40,7,351,815,27.2,27
19:41,6,351,818,27.2,27
19:41,7,351,815,27.2,28
19:41,8,348,816,27.1,28
19:41,8,351,816,27.3,28
19:41,7,351,816,27.2,28
19:41,7,350,816,27.3,28
19:41,5,351,816,27.1,28
19:41,8,349,816,27.2,28
