,TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
351,01:30:00,0.00015518311607697082,0.0,0.01104609859099337,0.0974363539255828,0.4872917017337148
1057,14:11:00,0.7460816263190566,1.0,0.8421971819868177,0.2627381164322591,0.05352634236660486
665,06:44:00,0.02415147043322441,0.017812943801988224,0.04260046274335172,0.029825227325403162,0.6802361587052554
1324,18:38:00,0.09276070763500932,0.08693134822167076,0.09287800449934867,0.2212925048958515,0.23531392021545186
527,04:26:00,0.0002474145907264912,0.0,0.01776915108860866,0.0457029032485613,0.6777589694892859
70,20:49:00,0.00395863345162386,0.0,0.0099712479549261,0.1719906886439747,0.5464679410428965
554,04:53:00,0.0002474145907264912,0.0,0.016418676244227826,0.03794747078444427,0.6921266669419097
332,01:11:00,0.00032976412166356304,0.0,0.010912894186367705,0.10304432971336974,0.4448746002356504
836,10:30:00,0.7048876934041428,0.9769016328156112,0.8346160424149136,0.1406642533578616,0.5037685387794797
1185,16:19:00,0.6398199875853506,0.8610421836228288,0.7047302364131507,0.26957450596403765,0.10503282275711157
938,12:12:00,0.7681363082511438,1.0,0.8972122455960323,0.20227879651059288,0.31509846827133475
310,00:49:00,0.0003362300848334368,0.0,0.011076570186822787,0.10948486213071627,0.4108636890204657
1431,07:34:00,0.5837565600135433,0.8052785923753665,0.6952283222165212,0.05167430041918164,0.6301969365426694
218,23:17:00,0.006653476101800128,0.0,0.014731420452302968,0.13359444543350518,0.5165797003871402
78,20:57:00,0.0040347610180012415,0.0,0.010513280972490824,0.17039344846003213,0.5584918363911797
270,00:09:00,0.0002521725636250776,0.0,0.01042447803607377,0.12131030799359033,0.443359703753577
51,20:30:00,0.004286933581626319,0.0,0.008737222244148857,0.17621506142068774,0.5382932166301968
67,20:46:00,0.0043839230291744255,0.0,0.010246872163239606,0.17140822503115505,0.528193906749705
370,01:49:00,0.00014943559325930524,0.0,0.01547802291773559,0.0919075030166362,0.4546559688791633
1167,16:01:00,0.6943280571073865,0.9403639371381308,0.7710660299167225,0.27726544418728816,0.07877461706783367
629,06:08:00,0.00019397889509621354,0.0,0.018905158463906613,0.03003382588570347,0.6716041070526846
76,20:55:00,0.0043012075003220785,0.0,0.011365286503964293,0.17073305094709135,0.5573675735931627
344,01:23:00,0.00011207669494447893,0.0,0.012656062938258994,0.10101082032718156,0.485290542183321
184,22:43:00,0.0038407821229050282,0.0,0.011534514741287529,0.14817518248175174,0.4635583235145597
1172,16:06:00,0.6738438857852266,0.9116625310173698,0.7495757193037851,0.27096314758768025,0.12119171856589794
1216,16:50:00,0.5445375543140906,0.7211745244003309,0.5865335280419939,0.2578244614562933,0.12624137350614367
864,10:58:00,0.7213299193047796,0.9961124896608768,0.847880569917512,0.16083318497418564,0.4696179094428548
163,22:22:00,0.0040347610180012415,0.0,0.012192996892455676,0.15469817031182231,0.4850336484868502
1100,14:54:00,0.6964230291744258,0.9460711331679073,0.7808343529226036,0.25547445255474466,0.06968523817539124
1301,18:15:00,0.20627715704531344,0.24317617866004965,0.21249555985317908,0.2284493501869327,0.15552937215956908
737,08:51:00,0.6409450651769087,0.8929693961952031,0.7713324387259739,0.06800783336300475,0.7039218986702576
966,12:40:00,0.8781812538795779,1.0,1.0,0.30140644472138123,0.11816192560175047
865,10:59:00,0.7215626939788949,0.9971050454921426,0.8469925405533414,0.162115008011394,0.4645682545026088
44,20:23:00,0.004015363128491621,0.0,0.009580850140111395,0.1780843866832833,0.5398081131122705
198,22:57:00,0.00019031891594345482,0.0,0.008402954587258149,0.13913490381288607,0.4929606539779529
1321,18:35:00,0.110451582867784,0.10901571546732836,0.10859612424517501,0.22043795620437934,0.21814509341861632
1141,15:35:00,0.7027855369335816,0.9550041356492972,0.7859849232347951,0.26305857219156104,0.05352634236660486
1204,16:38:00,0.581827482355105,0.7778574273197929,0.6331452026680351,0.2596759836211503,0.10406029662047173
1247,17:21:00,0.4543761638733706,0.5915632754342435,0.4816572601334018,0.2461812355349834,0.10705268473320984
1225,16:59:00,0.5179236499068901,0.6828784119106701,0.5538540474405023,0.25344489941249737,0.10806261572125904
1305,18:19:00,0.1919615145872129,0.2225806451612904,0.1964222283616844,0.2277016200818939,0.1959266116815349
1383,19:37:00,0.0002327746741154563,0.0,0.004252673955085495,0.20591062844935004,0.3423666049486617
339,01:18:00,0.0002428328390463711,0.0,0.011031298101590536,0.1024508931220699,0.4638949671772428
29,20:08:00,0.003879577901924271,0.0,0.010557682440699323,0.17974007477301068,0.5605116983672782
886,11:20:00,0.7335117939168219,1.0,0.8620890397442471,0.1716218622040233,0.443359703753577
1005,13:19:00,0.835156734947238,1.0,0.8180427832813671,0.4813957628627379,0.07877461706783367
382,02:01:00,0.0002521725636250776,0.0,0.01220053676441568,0.09108064803275684,0.4797172193233462
651,06:30:00,0.0004655493482309126,0.0,0.01806153056794396,0.029339505073882614,0.6862481063793975
49,20:28:00,0.0040929546865301055,0.0,0.009136835458025794,0.1760014242478195,0.5428379060764181
1354,19:08:00,0.00031036623215394165,0.0,0.0008781623712357245,0.2099697347338434,0.3797340515064804
613,05:52:00,0.0004948291814529824,0.0,0.017420641451349028,0.034174557693793184,0.6505098881136202
746,09:00:00,0.648737269236959,0.9037037037037036,0.7823670258252098,0.06876347595592712,0.6914660831509845
816,10:10:00,0.6978196772191185,0.9696443341604633,0.8305639973161779,0.12131030799359087,0.5483925265106886
415,02:34:00,0.00029096834264432026,0.0,0.01215613529620718,0.08354993768915797,0.5185995623632385
1339,18:53:00,0.0111731843575419,0.0,0.01286655878754378,0.21338792949973284,0.27066150479717216
752,09:06:00,0.6560754189944134,0.9140612076095948,0.7905138729920671,0.0768737760370305,0.6604948661841437
814,10:08:00,0.6966313768765664,0.9695738749502189,0.8339319309047373,0.11340573259747155,0.534889375151957
964,12:38:00,0.8695685909373061,1.0,1.0,0.25931992166636963,0.10806261572125904
808,10:02:00,0.6951815642458101,0.9660876757650954,0.8297647708884237,0.11863984333274015,0.5049654940245749
