,TimeStamp,Light,Moisture 1,Moisture 2,Temp,Humidity
959,12:33:00,0.8374370646251467,1.0,0.978621515306995,0.2304630783534116,0.1993678580111839
1347,19:01:00,0.0008218957629261787,0.0,0.004703266632461012,0.2124621684173041,0.31315341599805485
283,00:22:00,0.00019397889509621354,0.0,0.010246872163239606,0.11799893181413534,0.4277057734388148
797,09:51:00,0.6892458100558659,0.959470636889992,0.8250582152583184,0.1103079935908846,0.6019188688772934
225,23:24:00,0.004868870266914961,0.0,0.014775821920511691,0.1311376179455227,0.4635583235145597
26,20:05:00,0.004170546244568593,0.0,0.009403244267277013,0.18166280932882306,0.56404645682545
437,02:56:00,0.0003491620111731843,0.0,0.013177369065003773,0.08002492433683439,0.5403130786062951
1392,06:55:00,0.09539882060831782,0.1057899090157155,0.11143781821052218,0.02453266868435089,0.6645345901363404
229,23:28:00,0.004320239391916424,0.0,0.013761290260123682,0.12865458967218754,0.4592708806407662
37,20:16:00,0.004389670551992092,0.0,0.010005130836326426,0.1794947876486056,0.5548261609530754
749,09:03:00,0.6527389819987586,0.908354011579818,0.7854521056162926,0.075485134413388,0.6877630028614707
1045,13:59:00,0.7590006207324645,1.0,0.8547183960216285,0.2688267758589993,0.09190371991247263
469,03:28:00,0.0005237430167597766,0.0,0.015397442475431178,0.06352145273277532,0.5908096280087525
1221,16:55:00,0.5302348437823298,0.6999601752289923,0.5693518043441081,0.2544300041540557,0.10503282275711157
1407,07:10:00,0.2755592339701589,0.3600159299084029,0.3174277407217377,0.02885288706901623,0.6545100899586673
687,08:01:00,0.6355136561142148,0.8885856079404466,0.774174132691321,0.037991810575040086,0.7917858946305332
1317,18:31:00,0.13109093730602106,0.1371381306865178,0.1300864348581126,0.22289478369236204,0.2433933681198451
639,06:18:00,0.00042675356921166975,0.0,0.0177951217586928,0.031315648922911936,0.6827133479212251
1237,17:11:00,0.4782743637492241,0.6253928866832092,0.5088309586770339,0.2500267046466079,0.12624137350614367
1158,15:52:00,0.7107774674115458,0.9675765095119936,0.7964636697320124,0.2753427096314757,0.07877461706783367
1193,16:27:00,0.6203057107386717,0.8327543424317623,0.682351896436042,0.26690404130318623,0.10604275374516063
1302,18:16:00,0.20049658597144634,0.235401157981803,0.2061017484311481,0.2284493501869327,0.16966840599225724
800,09:54:00,0.6913407821229051,0.9613730355665842,0.8267454710502427,0.11308527683816948,0.6039387308533914
160,22:19:00,0.004228739913097455,0.0,0.0123781426372499,0.1545308883745773,0.4686079784548056
956,12:30:00,0.8207635009310987,1.0,0.9603050874215572,0.2221470535873239,0.2282444032991077
821,10:15:00,0.6985180012414649,0.968899917287014,0.8293207562063387,0.12996261349474791,0.5241541827975087
1213,16:47:00,0.5536933581626319,0.735483870967742,0.6011860125508153,0.2568630941783873,0.08786399596027611
877,11:11:00,0.7244335816263191,0.9993382961124896,0.8475253581718436,0.17386505251913842,0.4837569432755429
913,11:47:00,0.7449177529484792,1.0,0.8715021510044598,0.18411963681680574,0.3049991583908432
152,22:11:00,0.004244111825539043,0.0,0.014284054716013015,0.1535453357563462,0.4875108377028197
1312,18:26:00,0.1619881830930869,0.1804858622062922,0.16358816487087394,0.22429133780388832,0.21687332847070254
509,04:08:00,0.00017128702434910926,0.0,0.014589000648615237,0.053615540424788784,0.5811485900664711
1135,15:29:00,0.6950651769087524,0.944251447477254,0.7783478707029245,0.2594267402528041,0.06766537619929297
1200,16:34:00,0.5964463066418373,0.7975186104218361,0.6511820657536407,0.26466085098807113,0.0777646860797846
103,21:22:00,0.004072824801189932,0.0,0.00988412054561122,0.16428765775056098,0.5202097353536186
586,05:25:00,0.00019397889509621354,0.0,0.01792832616331852,0.03200996973473369,0.6786736239690287
1268,17:42:00,0.38097454996896335,0.489991728701406,0.4047539171961953,0.2411607619725831,0.13129102844638946
1143,15:37:00,0.7049968963376785,0.9571546732837056,0.7906914788649011,0.26369948371016505,0.03736744655781854
53,20:32:00,0.004189944134078211,0.0,0.009314441330860013,0.17514687555634678,0.5403130786062951
151,22:10:00,0.003995965238981999,0.0,0.015441843943639788,0.15394338614919026,0.513044941928968
403,02:22:00,0.00013578522656734946,0.0,0.01215613529620718,0.08563290012462144,0.5165797003871402
1389,06:52:00,0.06862829620433593,0.0717642373556352,0.08440225756798364,0.02710422724665207,0.6564551422319473
207,23:06:00,0.00011419134956607287,0.0,0.008272263473285746,0.13803447082811238,0.4919697782915649
1355,19:09:00,0.00011638733705772815,0.0,0.0010557682440699434,0.20986291614740915,0.3797340515064804
1122,15:16:00,0.6772191185599007,0.9168734491315136,0.7539270631882227,0.2648744881609394,0.05756606631880156
8,19:47:00,0.004655493482309124,0.0,0.008559616371314693,0.18577532490653306,0.4918363911799359
1014,13:28:00,0.7943823711980135,1.0,0.8660851718830169,0.3251201709097379,0.01918868877293384
1282,17:56:00,0.3137802607076351,0.39553349875930505,0.3308698740971701,0.2345380096136728,0.13129102844638946
1060,14:14:00,0.7386601374807457,1.0,0.8325637078843853,0.2598817083061345,0.07780209093119382
452,03:11:00,0.00015518311607697082,0.0,0.013354974937837938,0.08221470535873188,0.5216293553273856
253,23:52:00,0.0039183736809435135,0.0,0.013488179342463602,0.12296599608331893,0.4155866015822252
896,11:30:00,0.7411933581626319,1.0,0.8704365157674547,0.17407868969200654,0.3969028783033156
1250,17:24:00,0.4478196772191186,0.5818031430934658,0.4738426017286971,0.2441516823927365,0.10705268473320984
880,11:14:00,0.729709807572936,1.0,0.8582705134783124,0.16863094178387006,0.40700218818380735
1351,19:05:00,0.0002988711865186105,0.0,0.002821959979476707,0.21071350859493945,0.2849501580354971
623,06:02:00,0.00028547837391518216,0.0,0.01728995033737668,0.035012982825049166,0.6554642665455594
345,01:24:00,0.00021337678460583488,0.0,0.011712120614121524,0.09919886060174388,0.4832519777815181
1229,17:03:00,0.5029096834264434,0.6579818031430935,0.5328965544460671,0.25280398789389324,0.10503282275711157
262,00:01:00,0.00017458100558659218,0.0,0.009358842799068571,0.12296599608331882,0.4150816360882005
150,22:09:00,0.004112352576039728,0.0,0.013976595492757704,0.15527861847961555,0.4797172193233462
472,03:31:00,0.000437733506669946,0.0,0.01498107399053217,0.058646091212323566,0.6287106230130877
640,06:19:00,0.00037358898314826316,0.0,0.018342739866598345,0.031270152117579,0.6968149769025039
1418,07:21:00,0.4755586592178771,0.6435070306038047,0.5534988356948336,0.034894071568452915,0.6827133479212251
1348,19:02:00,0.0004655493482309126,0.0,0.00292062990882902,0.21264019939469447,0.3605453627335464
550,04:49:00,7.759155803848541e-05,0.0,0.017528712949441527,0.03868613138686139,0.7089715536105029
928,12:02:00,0.7602808814400993,1.0,0.8881971030508742,0.1951219512195117,0.34640632890085826
488,03:47:00,0.0002474145907264912,0.0,0.015286019923134218,0.051100265031020935,0.5865984063416041
1295,18:09:00,0.2668373680943513,0.33085194375516963,0.28149544144926403,0.22962435463770714,0.15552937215956908
1171,16:05:00,0.6783441961514587,0.919520264681555,0.7560583336622331,0.2716040591062845,0.114122201649554
146,22:05:00,0.004054158907510862,0.0,0.011134901527410423,0.15388997685597305,0.5185995623632385
402,02:21:00,0.00019397889509621354,0.0,0.011578916209496026,0.0854192629517534,0.5059754250126239
954,12:28:00,0.8100156332620642,1.0,0.9459551906960836,0.2213083298716193,0.22854364211038164
